phi_center,psi_center,n,n_structures,k_empirical_secant,ci_lo,ci_hi,ci_width,k_amber_ff14SB_verified,delta_k,well_supported,ci_excludes_amber
-145.0,65.0,506,475,-0.2720315571798646,-0.3336530052849158,-0.20868956883034417,0.12496343645457164,-5.638851046248386,5.366819489068522,True,True
-145.0,75.0,603,557,-0.09997231773987433,-0.16016422944096292,-0.04433798058290983,0.1158262488580531,-5.638851046248386,5.538878728508512,True,True
-145.0,85.0,542,506,0.13798355720186775,0.06644589768875714,0.204103141131892,0.13765724344313487,-5.638851046248386,5.776834603450254,True,True
-145.0,95.0,675,632,0.2988772119359974,0.22712785475819952,0.36510579386113495,0.13797793910293543,-5.638851046248386,5.937728258184384,True,True
-145.0,105.0,974,879,0.48800966461078554,0.42640622004209816,0.5528826799999654,0.12647645995786727,-5.638851046248386,6.126860710859172,True,True
-145.0,115.0,1852,1549,0.8808723949196227,0.8318515400514187,0.9272887637972352,0.09543722374581654,-5.638851046248386,6.519723441168009,True,True
-145.0,125.0,3626,2546,1.1619402610129617,1.1239855591949799,1.1957939868913336,0.07180842769635376,-5.638851046248386,6.800791307261348,True,True
-145.0,135.0,6807,3853,1.1976175806166784,1.172230012255199,1.2269884602810859,0.05475844802588692,-5.638851046248386,6.836468626865065,True,True
-145.0,145.0,9038,4452,1.2612588923485175,1.238250176903497,1.2848904891338275,0.046640312230330494,-5.638851046248386,6.900109938596904,True,True
-145.0,155.0,10739,4970,1.2903315367451014,1.2702119335007036,1.3136471967637011,0.043435263262997514,-5.638851046248386,6.929182582993487,True,True
-145.0,165.0,7570,4222,1.2608842639572226,1.2352766965937803,1.2867254280646727,0.05144873147089246,-5.638851046248386,6.8997353102056085,True,True
-145.0,175.0,2729,2131,1.141620065894539,1.1047038727896337,1.177478497451814,0.07277462466218032,-5.638851046248386,6.7804711121429255,True,True
-135.0,-175.0,936,855,1.1269563481332396,1.0664632467280681,1.1914729007495775,0.12500965402150932,-11.183261439991469,12.310217788124708,True,True
-135.0,-165.0,438,412,1.1255908375216213,1.040821781029022,1.2147786396673015,0.1739568586382796,-11.183261439991469,12.30885227751309,True,True
-135.0,-155.0,183,178,0.8856128643342182,0.7577234087865503,1.0216845804026493,0.263961171616099,-11.183261439991469,12.068874304325687,True,True
-135.0,-145.0,100,99,0.6132261758625842,0.4644081693716281,0.7625274133624301,0.29811924399080203,-11.183261439991469,11.796487615854053,True,True
-135.0,-135.0,81,80,0.4214703502154655,0.29958179044272426,0.5520183666192092,0.25243657617648496,-11.183261439991469,11.604731790206934,False,True
-135.0,-125.0,62,61,0.34057306283145844,0.2062822754290155,0.487647218586326,0.2813649431573105,-11.183261439991469,11.523834502822927,False,True
-135.0,-115.0,46,46,0.6674350409933201,0.46753953327302555,0.8854642435986471,0.4179247103256215,-11.183261439991469,11.850696480984789,False,True
-135.0,-105.0,49,48,0.5138726938749278,0.3546216826792213,0.6788301383428592,0.32420845566363793,-11.183261439991469,11.697134133866397,False,True
-135.0,-95.0,60,60,0.5199167279406081,0.37207653179795525,0.6720798869630433,0.3000033551650881,-11.183261439991469,11.703178167932077,False,True
-135.0,-85.0,46,46,0.28309010141846963,0.07530639420031297,0.4831030790792504,0.4077966848789374,-11.183261439991469,11.466351541409939,False,True
-135.0,-75.0,68,67,0.3217273289632927,0.17695197559499004,0.47024801272540545,0.2932960371304154,-11.183261439991469,11.504988768954762,False,True
-135.0,-65.0,125,124,0.0084207671854984,-0.08529995109751068,0.09773045727334725,0.18303040837085793,-11.183261439991469,11.191682207176967,True,True
-135.0,-55.0,182,175,-0.06243932011298774,-0.14713472991293344,0.01964680526040601,0.16678153517333946,-11.183261439991469,11.120822119878481,True,True
-135.0,-45.0,192,189,-0.06090180710804253,-0.14935416992303246,0.029096850583413186,0.17845102050644565,-11.183261439991469,11.122359632883427,True,True
-135.0,-35.0,187,181,-0.18316965547277658,-0.29595108392068037,-0.07902378153873635,0.21692730238194402,-11.183261439991469,11.000091784518693,True,True
-135.0,-25.0,283,271,-0.09395893832652244,-0.18578585207781853,0.008929474875126124,0.19471532695294466,-11.183261439991469,11.089302501664946,True,True
-135.0,-15.0,449,433,-0.01834590729347801,-0.08934691710305605,0.05806797361566447,0.14741489071872052,-11.183261439991469,11.164915532697991,True,True
-135.0,-5.0,581,546,-0.12267852636010491,-0.19052125497031988,-0.05979849515158261,0.13072275981873727,-11.183261439991469,11.060582913631364,True,True
-135.0,5.0,780,716,-0.08892163598125116,-0.14862850422711898,-0.0313231116764281,0.11730539255069089,-11.183261439991469,11.094339804010218,True,True
